n,prime,is_mersenne,ms
1,1000000000000000003,0,0.027
2,1000000000000000009,0,0.012
3,1000000000000000031,0,0.010
4,1000000000000000079,0,0.015
5,1000000000000000183,0,0.019
6,1000000000000000201,0,0.014
7,1000000000000000283,0,0.017
8,1000000000000000381,0,0.018
9,1000000000000000523,0,0.023
10,1000000000000000583,0,0.010
11,1000000000000000603,0,0.006
12,1000000000000000619,0,0.011
13,1000000000000000621,0,0.008
14,1000000000000000799,0,0.029
15,1000000000000000841,0,0.011
16,1000000000000000861,0,0.011
17,1000000000000000877,0,0.006
18,1000000000000000913,0,0.009
19,1000000000000000931,0,0.010
20,1000000000000000997,0,0.012
21,1000000000000001093,0,0.019
22,1000000000000001191,0,0.019
23,1000000000000001267,0,0.012
24,1000000000000001323,0,0.012
25,1000000000000001359,0,0.012
26,1000000000000001453,0,0.015
27,1000000000000001459,0,0.009
28,1000000000000001537,0,0.014
29,1000000000000001563,0,0.007
30,1000000000000001593,0,0.009
31,1000000000000001659,0,0.017
32,1000000000000001683,0,0.007
33,1000000000000001729,0,0.014
34,1000000000000001743,0,0.006
35,1000000000000001771,0,0.010
36,1000000000000001879,0,0.020
37,1000000000000001953,0,0.015
38,1000000000000002049,0,0.019
39,1000000000000002137,0,0.014
40,1000000000000002271,0,0.023
41,1000000000000002319,0,0.013
42,1000000000000002481,0,0.026
43,1000000000000002493,0,0.006
44,1000000000000002497,0,0.005
45,1000000000000002509,0,0.009
46,1000000000000002539,0,0.011
47,1000000000000002557,0,0.008
48,1000000000000002587,0,0.009
49,1000000000000002611,0,0.010
50,1000000000000002679,0,0.015
51,1000000000000002851,0,0.025
52,1000000000000002857,0,0.006
53,1000000000000002901,0,0.013
54,1000000000000002931,0,0.013
55,1000000000000002961,0,0.011
56,1000000000000003111,0,0.024
57,1000000000000003129,0,0.009
58,1000000000000003139,0,0.009
59,1000000000000003187,0,0.010
60,1000000000000003201,0,0.009
61,1000000000000003271,0,0.015
62,1000000000000003279,0,0.009
63,1000000000000003337,0,0.010
64,1000000000000003339,0,0.008
65,1000000000000003423,0,0.014
66,1000000000000003489,0,0.014
67,1000000000000003493,0,0.006
68,1000000000000003529,0,0.012
69,1000000000000003621,0,0.019
70,1000000000000003643,0,0.008
71,1000000000000003661,0,0.008
72,1000000000000003669,0,0.008
73,1000000000000003733,0,0.013
