n,prime,is_mersenne,ms
1,1000000000000000003,0,1.529
2,1000000000000000009,0,0.052
3,1000000000000000031,0,0.011
4,1000000000000000079,0,0.018
5,1000000000000000183,0,0.026
6,1000000000000000201,0,0.012
7,1000000000000000283,0,0.023
8,1000000000000000381,0,0.025
9,1000000000000000523,0,0.036
10,1000000000000000583,0,0.016
11,1000000000000000603,0,0.007
12,1000000000000000619,0,0.011
13,1000000000000000621,0,0.007
14,1000000000000000799,0,0.044
15,1000000000000000841,0,0.013
16,1000000000000000861,0,0.012
17,1000000000000000877,0,0.007
18,1000000000000000913,0,0.011
19,1000000000000000931,0,0.010
20,1000000000000000997,0,0.018
21,1000000000000001093,0,0.028
22,1000000000000001191,0,0.027
23,1000000000000001267,0,0.018
24,1000000000000001323,0,0.017
25,1000000000000001359,0,0.014
26,1000000000000001453,0,0.023
27,1000000000000001459,0,0.007
28,1000000000000001537,0,0.020
29,1000000000000001563,0,0.009
30,1000000000000001593,0,0.010
31,1000000000000001659,0,0.022
32,1000000000000001683,0,0.009
33,1000000000000001729,0,0.017
34,1000000000000001743,0,0.007
35,1000000000000001771,0,0.011
36,1000000000000001879,0,0.030
37,1000000000000001953,0,0.021
38,1000000000000002049,0,0.026
39,1000000000000002137,0,0.021
40,1000000000000002271,0,0.035
41,1000000000000002319,0,0.016
42,1000000000000002481,0,0.040
43,1000000000000002493,0,0.005
44,1000000000000002497,0,0.005
45,1000000000000002509,0,0.009
46,1000000000000002539,0,0.012
47,1000000000000002557,0,0.008
48,1000000000000002587,0,0.011
49,1000000000000002611,0,0.012
50,1000000000000002679,0,0.019
51,1000000000000002851,0,0.040
52,1000000000000002857,0,0.007
53,1000000000000002901,0,0.015
54,1000000000000002931,0,0.014
55,1000000000000002961,0,0.012
56,1000000000000003111,0,0.037
57,1000000000000003129,0,0.009
58,1000000000000003139,0,0.009
59,1000000000000003187,0,0.014
60,1000000000000003201,0,0.010
61,1000000000000003271,0,0.019
62,1000000000000003279,0,0.009
63,1000000000000003337,0,0.014
64,1000000000000003339,0,0.007
65,1000000000000003423,0,0.022
66,1000000000000003489,0,0.019
67,1000000000000003493,0,0.005
68,1000000000000003529,0,0.013
69,1000000000000003621,0,0.026
70,1000000000000003643,0,0.009
71,1000000000000003661,0,0.008
72,1000000000000003669,0,0.008
73,1000000000000003733,0,0.018
74,1000000000000003811,0,0.021
75,1000000000000003813,0,0.005
76,1000000000000003973,0,0.041
77,1000000000000004071,0,0.028
78,1000000000000004083,0,0.006
79,1000000000000004117,0,0.011
80,1000000000000004189,0,0.022
81,1000000000000004209,0,0.011
82,1000000000000004231,0,0.010
83,1000000000000004383,0,0.036
84,1000000000000004387,0,0.005
85,1000000000000004413,0,0.010
86,1000000000000004447,0,0.012
87,1000000000000004449,0,0.007
88,1000000000000004477,0,0.009
89,1000000000000004503,0,0.010
90,1000000000000004551,0,0.015
91,1000000000000004561,0,0.007
92,1000000000000004573,0,0.008
93,1000000000000004599,0,0.012
94,1000000000000004671,0,0.021
95,1000000000000004777,0,0.027
96,1000000000000004803,0,0.009
97,1000000000000004879,0,0.023
98,1000000000000004981,0,0.028
99,1000000000000004989,0,0.009
100,1000000000000005029,0,0.016
101,1000000000000005079,0,0.017
102,1000000000000005101,0,0.014
103,1000000000000005139,0,0.013
104,1000000000000005209,0,0.020
105,1000000000000005227,0,0.008
106,1000000000000005271,0,0.017
107,1000000000000005359,0,0.025
108,1000000000000005377,0,0.007
109,1000000000000005383,0,0.006
110,1000000000000005421,0,0.013
111,1000000000000005451,0,0.012
112,1000000000000005539,0,0.024
113,1000000000000005551,0,0.007
114,1000000000000005583,0,0.012
115,1000000000000005611,0,0.010
116,1000000000000005647,0,0.011
117,1000000000000005673,0,0.009
118,1000000000000005733,0,0.019
119,1000000000000005743,0,0.006
120,1000000000000005749,0,0.007
121,1000000000000005857,0,0.027
122,1000000000000005989,0,0.032
123,1000000000000006021,0,0.013
124,1000000000000006039,0,0.008
