range_id,band_id,p_min,p_max,n_train,n_test,winner,delta_bic,delta_logl,exp_bic,ln_bic,exp_ks,ln_ks,exp_ks_p,ln_ks_p
1e6:1e7,0,1000000.0,1467799.2676220706,23381,10021,lognormal,1585.1696653254621,797.191051747759,73064.05235500456,71478.8826896791,0.160515694314571,0.0848124945583818,4.9292969011667066e-226,3.691068746348393e-63
1e6:1e7,1,1467799.2676220706,2154434.6900318824,33358,14297,lognormal,2010.1543132197985,1009.8610591119141,104903.50224895065,102893.34793573085,0.1542452703886224,0.08232230055368239,1.6951416937345127e-297,9.851115451686277e-85
1e6:1e7,2,2154434.6900318824,3162277.6601683795,47664,20428,lognormal,3002.344132833474,1506.1343973106123,150825.89746923375,147823.55333640028,0.15648216608483181,0.08035862838757463,0.0,3.4271642634516106e-115
1e6:1e7,3,3162277.6601683795,4641588.833612782,68259,29255,lognormal,4028.2834765791777,2019.2836411786993,217555.44351523192,213527.16003865274,0.15098638236280426,0.07927568181860101,0.0,2.2874019363375937e-160
1e6:1e7,4,4641588.833612782,6812920.690579608,97678,41863,lognormal,5738.019083823136,2874.3306207419955,313069.58547144465,307331.5663876215,0.14897972375069857,0.0830081306414106,0.0,2.2290805693103926e-251
1e6:1e7,5,6812920.690579608,10000000.0,139913,59963,lognormal,7644.740745247225,3827.8711141157546,452053.85207856214,444409.1113333149,0.14886594918728638,0.07971331396622527,0.0,0.0
1e7:1e8,0,10000000.0,14677992.676220706,200653,85995,lognormal,10625.089937464567,5318.225990949257,652560.8132023473,641935.7232648827,0.1455110337138974,0.07797109672037422,0.0,0.0
1e7:1e8,1,14677992.676220706,21544346.900318824,287681,123293,lognormal,14327.052431992837,7169.387375454127,940640.1967698564,926313.1443378635,0.1424578106955615,0.07742051062445854,0.0,0.0
1e7:1e8,2,21544346.900318824,31622776.60168379,412829,176927,lognormal,20551.445445190184,10281.764468843583,1358151.6986552563,1337600.2532100661,0.1413183528065529,0.07539219908899242,0.0,0.0
1e7:1e8,3,31622776.60168379,46415888.33612782,592623,253982,lognormal,28234.67476722994,14123.559892953723,1960781.2327297723,1932546.5579625424,0.13971830912561667,0.07471862279972197,0.0,0.0
1e7:1e8,4,46415888.33612782,68129206.90579608,851148,364779,lognormal,39405.7149954387,19709.26102120406,2832441.244598526,2793035.5296030873,0.13785662351645375,0.07394840957241194,0.0,0.0
1e7:1e8,5,68129206.90579608,100000000.0,1222875,524090,lognormal,53957.50366789056,26985.336543297395,4093152.5877308575,4039195.084062967,0.13580237361479178,0.07317238654199176,0.0,0.0
